Wall time,Step,Value
1671403765.7822633,0,283.72003173828125
1671403830.862894,2,163.54344177246094
1671403896.8292472,3,239.5702667236328
1671403955.7776284,4,224.17933654785156
1671404249.4616103,10,242.57073974609375
1671404283.4963377,11,266.08172607421875
1671404442.5207505,14,257.65228271484375
1671404507.5323522,15,243.19015502929688
1671404643.426496,18,173.7408447265625
1671404702.6678917,19,289.703369140625
1671404724.6005313,20,182.09861755371094
1671404822.9280806,22,401.43328857421875
1671404857.0895584,23,351.3641662597656
1671405017.4887857,26,253.9073944091797
1671405085.366154,27,152.13494873046875
1671405179.2925038,29,339.8094177246094
1671405384.0478308,33,267.2341003417969
1671405441.9403548,34,245.55123901367188
1671405530.9655583,36,257.22589111328125
1671405565.5931838,37,231.80731201171875
1671405599.4323258,38,260.1015319824219
1671405692.3340204,39,1452.55908203125
1671405725.5481553,40,283.21484375
1671406057.9565382,47,253.85662841796875
1671406126.7055383,48,141.10391235351562
1671406183.2992818,49,204.3416748046875
1671406285.0300887,51,230.5787811279297
1671406319.508069,52,274.303466796875
1671406447.5650332,54,270.170654296875
1671406481.127157,55,264.1629638671875
1671406582.2355661,57,149.87332153320312
1671406742.8002958,60,147.92001342773438
1671406777.6580486,61,318.93377685546875
1671406813.9460177,62,247.48196411132812
1671406879.325921,63,244.81356811523438
1671406973.8759873,65,256.0078125
1671407039.059157,66,313.5337219238281
1671407073.9895654,67,247.869140625
1671407110.4894454,68,246.08932495117188
1671407232.7131102,70,266.2178039550781
1671407269.7998948,71,285.98651123046875
1671407368.5249982,73,246.43426513671875
1671407493.624116,75,293.38720703125
1671407565.1299124,77,157.0022430419922
1671407686.685771,79,207.103515625
1671407724.040595,80,250.5226593017578
1671407818.347644,82,193.99636840820312
1671407857.116586,83,317.476318359375
1671407976.9246655,85,484.5455627441406
1671408015.694141,86,245.44967651367188
1671408171.4273975,89,303.8841552734375
1671408231.3589063,90,482.13519287109375
1671408464.4069068,95,354.1955261230469
1671408681.7576125,99,383.21612548828125
1671408718.8806462,100,474.9168395996094
1671408849.5039284,103,427.87103271484375
1671409014.1631453,106,390.7602233886719
1671409047.8383667,107,267.3703308105469
1671409137.0336394,109,415.1337890625
1671409170.6939814,110,428.44805908203125
1671409392.8180335,114,475.28582763671875
1671409467.3100972,116,248.0372772216797
1671409721.0002778,121,493.921142578125
1671409915.1302812,125,468.05401611328125
1671409977.7349381,126,451.9116516113281
1671410048.95318,128,388.887451171875
1671410133.8450167,129,280.2012939453125
1671410170.7576604,130,420.7103576660156
1671410207.3142474,131,356.07427978515625
1671410267.55322,132,339.4005126953125
1671410362.4295015,134,1554.822509765625
1671410460.058734,136,564.3347778320312
1671410496.9941783,137,343.5900573730469
1671410786.1596692,143,334.02899169921875
1671410873.7167673,144,240.81031799316406
1671410942.2770028,146,369.8819580078125
1671411004.658707,147,287.77777099609375
1671411164.728855,150,412.6014099121094
1671411493.2797742,157,529.5145263671875
1671411615.90805,159,375.659912109375
1671411652.2509694,160,506.32977294921875
1671411747.8656685,162,1553.5792236328125
1671411841.3798628,164,320.69622802734375
1671411939.9951105,166,1612.796875
1671412137.4431245,170,321.5652770996094
1671412194.0579467,171,401.18212890625
1671412228.01552,172,278.7408142089844
1671412390.8877273,175,334.98748779296875
1671412424.2141426,176,464.20782470703125
1671412487.020796,177,471.96319580078125
1671412523.219329,178,295.20379638671875
1671412623.3138251,180,312.10125732421875
1671412659.6036937,181,285.97186279296875
1671412815.770706,184,434.8697204589844
1671412852.7795756,185,325.41937255859375
1671412914.6637115,186,251.97039794921875
1671413067.4826777,189,507.17852783203125
1671413100.4178462,190,274.5097351074219
1671413136.0648773,191,386.82196044921875
1671413197.6621096,192,464.4907531738281
1671413353.7684155,195,294.82196044921875
1671413493.2043607,198,345.6058349609375
1671413552.9937458,199,414.9427795410156
1671413592.0508828,200,399.5649108886719
1671413692.750588,202,375.2972412109375
1671413729.1948214,203,492.55859375
1671413813.932222,204,409.27679443359375
1671413849.6189501,205,417.08160400390625
1671413948.860518,207,295.08441162109375
1671414044.7735348,209,442.5562438964844
1671414140.5468693,211,439.30377197265625
1671414238.7564054,213,469.0626220703125
1671414333.638827,215,552.449951171875
1671414397.4308813,216,285.6442565917969
1671414467.5209453,218,394.83673095703125
1671414553.681699,219,438.5855407714844
1671414591.139522,220,355.2224426269531
1671414626.972197,221,436.8070373535156
1671414689.9586167,222,290.03582763671875
1671414786.9814298,224,474.2293701171875
1671414846.6473384,225,354.93023681640625
1671415044.9131618,229,1512.55712890625
1671415146.058055,232,334.43994140625
1671415303.77852,235,383.62933349609375
1671415400.9022381,237,530.4732666015625
1671415438.300205,238,405.4541015625
1671415499.228471,239,1501.09130859375
1671415600.1902487,241,323.0838928222656
1671415630.4012787,242,504.6866455078125
1671415745.8440564,244,328.8167419433594
1671415782.1619995,245,389.712158203125
1671415844.0493093,246,297.205810546875
1671415880.3604803,247,394.0226135253906
1671416132.662759,252,426.47637939453125
1671416170.2127378,253,502.6314392089844
1671416228.9950233,254,297.3912048339844
1671416360.3868515,257,1541.150390625
1671416423.2164307,258,1571.0751953125
1671416483.0411565,259,231.37265014648438
1671416519.5552456,260,400.13818359375
1671416620.1284506,262,400.78411865234375
1671417031.3641179,270,436.6406555175781
1671417069.0151694,271,214.99681091308594
1671417229.093722,274,323.6279296875
1671417266.2022734,275,374.45880126953125
1671417326.8210258,276,517.3964233398438
1671417398.4139404,278,426.1436462402344
1671417524.8256087,280,520.994140625
1671417622.126546,282,358.07220458984375
1671417657.479184,283,124.63243103027344
1671417775.784656,285,376.51629638671875
1671417845.3662155,287,488.5313415527344
1671417908.9097488,288,414.30169677734375
1671418006.3461082,290,485.2476806640625
1671418264.5950031,295,478.34906005859375
1671418301.3490982,296,413.1714782714844
1671418365.2551925,297,215.05613708496094
1671418401.7938259,298,340.9947814941406
1671418463.8924572,299,323.7298583984375
1671418719.6769717,304,482.0196533203125
1671418819.5524912,306,262.2784423828125
1671418853.6113591,307,410.0789489746094
1671418890.088101,308,1602.968505859375
1671418974.0164382,309,430.42950439453125
1671419111.1670313,312,432.662109375
1671419145.5243518,313,377.71575927734375
1671419304.4725368,316,430.48046875
1671419407.186489,318,292.5006103515625
1671419463.622765,319,331.91351318359375
1671419597.5079043,322,477.0910949707031
1671419723.675579,324,332.71844482421875
1671419954.7234502,329,163.03903198242188
1671420016.7504106,330,394.89434814453125
1671420050.9097414,331,382.5244140625
1671420087.205545,332,1510.09716796875
1671420148.496292,333,280.5236511230469
1671420339.6835363,337,324.2544860839844
1671420374.2631066,338,324.4990234375
1671420494.3634398,340,528.9136962890625
1671420618.6011212,343,350.6584777832031
1671420681.683414,344,525.890625
1671420745.752605,345,310.1619567871094
1671420780.3572552,346,377.6700744628906
1671420881.84058,348,371.04095458984375
1671420978.8209586,350,320.8278503417969
1671421074.3845062,352,292.04022216796875
1671421111.6993904,353,213.99264526367188
1671421199.198672,354,470.59454345703125
1671421232.789715,355,334.1986083984375
1671421335.4593554,357,383.05767822265625
1671421370.899212,358,317.7010192871094
1671421494.2714157,360,342.6805419921875
1671421556.583326,362,559.8441162109375
1671421619.4539511,363,388.61029052734375
1671421678.4813356,364,367.02374267578125
1671421713.3102205,365,300.4509582519531
1671421776.791549,366,297.20050048828125
1671421811.33316,367,395.19635009765625
1671421847.1804497,368,439.27056884765625
1671422170.5639277,374,368.38433837890625
1671422230.7877836,375,286.8696594238281
1671422305.4316463,377,1531.7406005859375
1671422368.8184953,378,441.84014892578125
1671422561.853291,382,294.25262451171875
1671422720.7610688,385,281.154541015625
1671422755.2219017,386,316.1697082519531
1671422910.456752,389,1622.81103515625
1671422971.7598925,390,217.34280395507812
1671423009.2638528,391,463.4841003417969
1671423043.016369,392,406.0086669921875
1671423106.2599752,393,374.9139709472656
1671423165.8984094,394,276.52752685546875
1671423202.5978224,395,534.76806640625
1671423263.9734635,396,308.18951416015625
1671423298.6090329,397,274.14251708984375
1671423334.737502,398,572.199951171875
1671423423.9254076,399,325.3857116699219
