Wall time,Step,Value
1671145065.3859906,0,-121.78608703613281
1671145287.557898,4,-116.09392547607422
1671145515.3218284,9,-111.60192108154297
1671145719.1408355,14,-136.45445251464844
1671145949.7791553,19,-145.02854919433594
1671146175.073907,24,-131.95205688476562
1671146375.5413675,29,-127.04197692871094
1671146604.5427377,34,-119.00079345703125
1671146832.0335855,39,-139.5613250732422
1671147034.4012783,44,-145.54360961914062
1671147262.5329692,49,-119.94528198242188
1671147490.3780613,54,-127.54951477050781
1671147693.3048863,59,-109.76521301269531
1671147921.3690188,64,-98.94683074951172
1671148150.1893067,69,-99.91810607910156
1671148353.4950328,74,-91.10406494140625
1671148578.3114977,79,5.281247138977051
1671148806.7468603,84,-24.107234954833984
1671149009.4676545,89,-30.267696380615234
1671149237.52656,94,-2.783669948577881
1671149458.902287,99,-28.680654525756836
1671149663.2993302,104,-72.08382415771484
1671149892.3456838,109,-110.57052612304688
1671150120.4389584,114,-118.16615295410156
1671150325.8747704,119,-105.8367691040039
1671150555.2909214,124,-92.7023696899414
1671150786.5302923,129,-135.03036499023438
1671150995.689061,134,-113.94290924072266
1671151224.0619195,139,-143.43714904785156
1671151439.8501883,144,-130.87933349609375
1671151636.3965914,149,-122.56275939941406
1671151865.4791222,154,-101.12056732177734
1671152095.24225,159,-112.2013168334961
1671152277.3902397,164,-104.4069595336914
1671152506.8662071,169,-90.76223754882812
1671152735.466581,174,-118.92524719238281
1671152936.74096,179,-121.58682250976562
1671153164.607363,184,-126.11624145507812
1671153392.6529803,189,-125.7863998413086
1671153596.151001,194,-114.1941146850586
1671153823.4884305,199,-111.01013946533203
1671154047.976094,204,-124.1879653930664
1671154252.145863,209,-129.32073974609375
1671154478.2464411,214,-95.35261535644531
1671154706.6902187,219,-127.35718536376953
1671154911.0470457,224,-131.6049346923828
1671155139.0344558,229,-135.3853302001953
1671155367.2967262,234,-121.66493225097656
1671155572.3197968,239,-136.72251892089844
1671155798.2518024,244,-120.7313232421875
1671156026.6059077,249,-146.5748748779297
1671156232.4717739,254,-126.10438537597656
1671156461.46056,259,-136.71029663085938
1671156688.6452014,264,-133.5629119873047
1671156893.6151235,269,-126.07601928710938
1671157121.724421,274,-129.36402893066406
1671157349.9405725,279,-126.02066802978516
1671157554.5124393,284,-127.95372009277344
1671157782.0627587,289,-143.5131378173828
1671158010.370491,294,-123.62078094482422
1671158213.4770503,299,-134.26004028320312
1671158442.878561,304,-137.89645385742188
1671158673.696036,309,-144.29458618164062
1671158879.0853293,314,-144.8101348876953
1671159108.5265727,319,-116.52693176269531
1671159337.5894167,324,-128.51651000976562
1671159544.7237072,329,-124.41056060791016
1671159770.2787445,334,-110.97425079345703
