Wall time,Step,Value
1669655553.9865143,0,-112.0434341430664
1669655717.8253317,4,-118.98013305664062
1669655881.7600873,9,-120.09971618652344
1669656026.1275454,14,-146.66343688964844
1669656189.8855424,19,-126.54185485839844
1669656355.8616934,24,-137.90170288085938
1669656500.6851797,29,-134.26454162597656
1669656666.9277904,34,-123.15011596679688
1669656833.1246774,39,-124.46644592285156
1669656974.5883398,44,-134.7894287109375
1669657140.7923381,49,-117.65498352050781
1669657306.9656668,54,-115.99205017089844
1669657451.027839,59,-131.99485778808594
1669657617.1679964,64,-137.8153839111328
1669657783.2901413,69,-138.05706787109375
1669657925.302284,74,-135.38821411132812
1669658091.9664237,79,-125.29298400878906
1669658258.2947333,84,-128.89247131347656
1669658401.6327384,89,-140.8919219970703
1669658573.5476139,94,-108.82782745361328
1669658806.724603,99,-138.57424926757812
1669659016.4304044,104,-112.60214233398438
1669659250.3980114,109,-109.62630462646484
1669659485.604477,114,-114.0220718383789
1669659694.280984,119,-104.25932312011719
1669659929.6445954,124,-125.63517761230469
1669660163.8094609,129,-128.18783569335938
1669660375.75933,134,-127.83557891845703
1669660611.1040416,139,-13.805965423583984
1669660846.539949,144,-89.21668243408203
1669661058.404972,149,-50.96416473388672
1669661293.5611944,154,-33.24445724487305
1669661527.4361744,159,-86.8242416381836
1669661736.378761,164,-34.081668853759766
1669661969.3914607,169,-107.54141235351562
1669662196.1373148,174,-2.8431973457336426
1669662407.7243335,179,-133.71376037597656
1669662642.585163,184,-48.22312927246094
1669662873.4347386,189,-27.105133056640625
1669663078.8311863,194,-65.23321533203125
1669663302.8904052,199,-44.9411506652832
1669663536.31128,204,-51.48431396484375
1669663744.4622734,209,-68.63015747070312
1669663971.1622531,214,27.63951301574707
1669664202.0123768,219,-32.66695022583008
1669664398.784786,224,59.158607482910156
1669664633.0724523,229,-66.20783996582031
1669664862.6458812,234,29.33987045288086
1669665061.7038333,239,57.64741134643555
1669665291.2137518,244,79.1103744506836
1669665518.66002,249,-64.31298065185547
1669665725.7167654,254,0.24252843856811523
1669665952.1017027,259,48.85891342163086
1669666180.5661204,264,98.04278564453125
1669666379.57261,269,142.64669799804688
1669666607.8833165,274,92.41863250732422
1669666835.3158183,279,61.57545471191406
1669667033.1733656,284,194.0130157470703
1669667264.1250715,289,65.7331771850586
1669667484.8249507,294,109.65336608886719
1669667682.160977,299,210.39999389648438
1669667902.9942029,304,144.65536499023438
1669668135.6815794,309,42.025184631347656
1669668333.3055253,314,197.6069793701172
1669668553.034334,319,175.34812927246094
1669668775.1595488,324,168.40248107910156
1669668973.5977619,329,216.30587768554688
1669669198.3299387,334,99.71110534667969
1669669415.6848776,339,233.233154296875
1669669612.45094,344,33.020118713378906
1669669833.973644,349,137.76690673828125
1669670046.3359876,354,256.33837890625
1669670217.3562956,359,191.4134063720703
1669670356.0718656,364,187.4917449951172
