Wall time,Step,Value
1671913569.3134258,0,100.0
1671913799.2918003,4,200.0
1671914023.4998863,9,0.0
1671914252.3263748,14,0.0
1671914489.8264768,19,100.0
1671914716.081771,24,0.0
1671914951.1329675,29,0.0
1671915181.6195605,34,0.0
1671915415.7441502,39,0.0
1671915640.3930554,44,0.0
1671915871.7274966,49,0.0
1671916117.6076984,54,0.0
1671916347.1441088,59,0.0
1671916592.9031122,64,200.0
1671916829.1974232,69,100.0
1671917057.3756912,74,300.0
1671917293.7532492,79,200.0
1671917530.8370326,84,300.0
1671917753.8308926,89,200.0
1671917991.810912,94,200.0
1671918223.6327705,99,0.0
1671918450.3894107,104,0.0
1671918695.2289226,109,300.0
1671918933.2990465,114,100.0
1671919163.5567627,119,200.0
1671919392.1914291,124,200.0
1671919653.3408146,129,200.0
1671919887.8538895,134,200.0
1671920127.1259336,139,300.0
1671920372.5165124,144,200.0
1671920606.9630208,149,300.0
1671920850.8423157,154,100.0
1671921089.1701536,159,100.0
1671921335.8071723,164,0.0
1671921573.885333,169,100.0
1671921815.111847,174,0.0
1671922046.958188,179,0.0
1671922282.6748257,184,0.0
1671922534.3285427,189,200.0
1671922761.330025,194,0.0
1671923001.309976,199,200.0
1671923245.542656,204,0.0
1671923497.9412897,209,0.0
1671923750.480937,214,0.0
1671923979.5321078,219,200.0
1671924232.059089,224,100.0
1671924482.5156026,229,0.0
1671924724.6411984,234,0.0
1671924963.6067104,239,0.0
1671925233.3912566,244,0.0
1671925470.1168368,249,0.0
1671925711.3374224,254,0.0
1671925942.8315806,259,0.0
1671926178.5242565,264,100.0
1671926425.243728,269,0.0
1671926661.2889836,274,100.0
1671926899.2568827,279,100.0
1671927138.7330415,284,300.0
1671927387.6376417,289,200.0
1671927642.0513086,294,200.0
1671927897.5615504,299,200.0
1671928145.5957103,304,100.0
1671928405.1853056,309,200.0
1671928693.5593534,314,200.0
1671928938.8114378,319,0.0
1671929173.6654441,324,100.0
1671929403.5514503,329,100.0
1671929662.5454574,334,0.0
1671929911.9365792,339,100.0
1671930171.0586228,344,100.0
1671930395.2655275,349,100.0
1671930631.093861,354,100.0
1671930861.4590814,359,200.0
1671931109.318344,364,100.0
1671931334.5484667,369,100.0
1671931571.4036405,374,100.0
1671931808.3667552,379,200.0
1671932042.6803858,384,200.0
1671932279.5486643,389,200.0
1671932504.7977226,394,200.0
1671932753.6696,399,200.0
1671933004.395781,404,200.0
1671933241.1376338,409,200.0
1671933471.0793402,414,100.0
1671933712.5905342,419,200.0
1671933984.702601,424,200.0
1671934227.371918,429,0.0
1671934458.048608,434,100.0
1671934695.1368058,439,0.0
1671934926.7175202,444,300.0
1671935157.253057,449,200.0
1671935396.8889587,454,200.0
1671935653.982923,459,100.0
1671935889.9007523,464,100.0
1671936137.9465594,469,200.0
1671936380.0961487,474,100.0
1671936625.1232796,479,100.0
1671936870.1935325,484,100.0
1671937113.806492,489,200.0
1671937387.2150164,494,100.0
1671937637.213893,499,200.0
1671937893.0941794,504,400.0
1671938143.0163789,509,300.0
1671938381.278469,514,100.0
1671938627.3616602,519,200.0
1671938886.0812943,524,400.0
1671939138.6042037,529,300.0
1671939385.0562582,534,300.0
1671939654.1752365,539,300.0
1671939890.250827,544,200.0
1671940137.4013913,549,200.0
1671940369.3305666,554,300.0
1671940597.6078222,559,300.0
1671940852.0277576,564,200.0
1671941107.0237236,569,200.0
1671941353.0525517,574,200.0
1671941587.9866579,579,200.0
1671941842.5183985,584,200.0
1671942076.4910252,589,200.0
1671942316.230098,594,200.0
1671942572.3575325,599,200.0
1671942847.3603632,604,300.0
1671943093.448424,609,200.0
1671943348.7678297,614,200.0
1671943605.5457547,619,100.0
1671943897.294466,624,200.0
1671944157.0217574,629,100.0
1671944408.8175223,634,200.0
1671944666.575227,639,300.0
1671944900.1626904,644,200.0
1671945140.9960601,649,200.0
1671945388.1463575,654,200.0
1671945622.6757598,659,200.0
1671945873.4356096,664,200.0
1671946098.8835175,669,100.0
1671946345.1007447,674,100.0
1671946574.2056077,679,100.0
1671946809.315947,684,200.0
1671947079.075354,689,200.0
1671947310.6132355,694,100.0
1671947576.869131,699,100.0
1671947826.198648,704,200.0
1671948072.9383135,709,200.0
1671948382.1750836,714,200.0
1671948647.0480094,719,100.0
1671948907.671967,724,0.0
1671949173.4018176,729,200.0
1671949424.4834867,734,100.0
1671949674.3893096,739,100.0
1671949900.144046,744,0.0
1671950171.421045,749,100.0
1671950397.1511292,754,100.0
1671950655.7916293,759,200.0
1671950934.0736947,764,200.0
1671951187.660409,769,200.0
1671951468.144369,774,200.0
1671951719.545067,779,200.0
1671951946.6641636,784,100.0
1671952210.0283272,789,100.0
1671952502.4562547,794,200.0
1671952755.769134,799,200.0
1671953024.7414298,804,200.0
1671953253.4210253,809,100.0
1671953509.766912,814,100.0
1671953767.250655,819,200.0
1671954046.311336,824,200.0
1671954306.8267415,829,100.0
1671954561.9863124,834,200.0
1671954839.7095559,839,100.0
1671955110.1803312,844,100.0
1671955367.3407993,849,100.0
1671955635.2049608,854,100.0
1671955876.6211436,859,100.0
1671956135.812013,864,200.0
1671956420.6782846,869,0.0
1671956700.1963248,874,200.0
1671957002.1044936,879,200.0
1671957275.6644359,884,100.0
1671957519.385771,889,200.0
1671957743.9790666,894,100.0
1671958056.6149452,899,0.0
1671958336.813601,904,200.0
1671958617.4594877,909,200.0
1671958854.181123,914,200.0
1671959089.6089766,919,200.0
1671959356.1571362,924,200.0
1671959618.353572,929,100.0
1671959919.7881882,934,100.0
1671960160.7682064,939,100.0
1671960418.5805585,944,100.0
1671960711.1455538,949,100.0
1671960995.9163997,954,200.0
1671961248.3276389,959,200.0
1671961474.387306,964,200.0
1671961712.6980488,969,100.0
1671961972.5147362,974,100.0
1671962236.9006457,979,100.0
1671962475.542772,984,200.0
1671962724.4274068,989,200.0
1671962979.1406367,994,200.0
1671963236.4543056,999,200.0
1671963492.4794707,1004,200.0
1671963751.6936936,1009,100.0
1671963988.516374,1014,100.0
1671964233.4722342,1019,100.0
1671964474.7989872,1024,200.0
1671964722.5124366,1029,100.0
1671964972.4453201,1034,200.0
1671965225.4227545,1039,100.0
1671965445.879562,1044,100.0
1671965710.9350502,1049,200.0
1671965947.0411057,1054,200.0
1671966186.3641033,1059,200.0
1671966468.1321914,1064,100.0
1671966761.8529058,1069,200.0
1671967063.1875427,1074,200.0
1671967353.0289886,1079,200.0
1671967620.6573887,1084,100.0
1671967911.723051,1089,200.0
1671968150.8280673,1094,200.0
1671968454.536589,1099,200.0
1671968703.764805,1104,200.0
1671968983.1925445,1109,300.0
1671969244.469064,1114,100.0
1671969489.478329,1119,200.0
1671969757.6197555,1124,200.0
1671970036.0371332,1129,200.0
1671970313.9995413,1134,200.0
1671970628.5167387,1139,100.0
1671970877.0547876,1144,200.0
1671971171.9924262,1149,200.0
1671971460.3128583,1154,300.0
1671971684.3095353,1159,200.0
1671971921.6996317,1164,100.0
1671972196.5655942,1169,200.0
1671972445.2603831,1174,200.0
1671972725.2223473,1179,100.0
1671973007.0782864,1184,100.0
1671973234.0339794,1189,200.0
1671973475.6372385,1194,200.0
1671973736.2276776,1199,100.0
1671974031.6412165,1204,100.0
1671974257.5296564,1209,100.0
1671974509.8924797,1214,100.0
1671974770.7020752,1219,100.0
1671975004.4044943,1224,100.0
1671975237.5896487,1229,100.0
1671975480.8967454,1234,200.0
1671975748.5595248,1239,200.0
1671976047.340264,1244,400.0
1671976323.5572698,1249,200.0
1671976616.4754217,1254,200.0
1671976876.4949942,1259,200.0
1671977125.625251,1264,100.0
1671977412.243789,1269,100.0
1671977670.4224722,1274,100.0
1671977917.7604232,1279,100.0
1671978174.9854958,1284,100.0
1671978435.2187555,1289,200.0
1671978676.282846,1294,200.0
1671978952.0996356,1299,300.0
1671979201.014564,1304,100.0
1671979486.153906,1309,100.0
1671979733.6611454,1314,100.0
1671979976.3663926,1319,200.0
1671980221.533684,1324,100.0
1671980462.1439335,1329,100.0
1671980703.0056899,1334,200.0
1671980958.749553,1339,100.0
1671981195.3810296,1344,200.0
1671981440.814928,1349,100.0
1671981687.2443688,1354,100.0
1671981919.0030868,1359,100.0
1671982136.9408858,1364,100.0
1671982383.0854812,1369,0.0
1671982654.0968294,1374,100.0
1671982900.8312466,1379,100.0
1671983138.136719,1384,100.0
