Wall time,Step,Value
1671819621.155351,0,0.0
1671820014.4547951,4,0.0
1671820433.3836453,9,300.0
1671820845.0177402,14,100.0
1671821279.4830203,19,100.0
1671821720.8666053,24,200.0
1671822138.518681,29,100.0
1671822587.4847229,34,100.0
1671823033.0641277,39,100.0
1671823441.6643555,44,100.0
1671823873.0510943,49,100.0
1671824300.1178823,54,100.0
1671824676.5046065,59,100.0
1671825118.59729,64,100.0
1671825540.5308456,69,0.0
1671825959.1622038,74,0.0
1671826372.544864,79,0.0
1671826806.6851737,84,100.0
1671827209.0939262,89,100.0
1671827647.4421754,94,100.0
1671828078.2394135,99,100.0
1671828508.5736904,104,100.0
1671828946.1464334,109,100.0
1671829370.6932304,114,100.0
1671829792.6978526,119,0.0
1671830234.9588053,124,0.0
1671830684.2875783,129,0.0
1671831076.4968295,134,0.0
1671831515.8546605,139,0.0
1671831963.836327,144,100.0
1671832390.49217,149,200.0
1671832832.8043733,154,100.0
1671833269.674118,159,0.0
1671833689.480651,164,0.0
1671834126.8674517,169,0.0
1671834563.5332856,174,0.0
1671834985.987447,179,0.0
1671835423.1316054,184,0.0
1671835865.064931,189,0.0
1671836289.5801992,194,0.0
1671836731.482001,199,0.0
1671837170.9467976,204,100.0
1671837596.98502,209,0.0
1671838041.450817,214,0.0
1671838480.683769,219,0.0
1671838896.828619,224,0.0
1671839331.9778001,229,0.0
1671839770.248414,234,0.0
1671840185.8429983,239,0.0
1671840598.1887195,244,0.0
1671841037.056876,249,0.0
1671841460.1188977,254,0.0
1671841905.4846795,259,0.0
1671842351.492251,264,0.0
1671842764.169807,269,0.0
1671843198.2364695,274,0.0
1671843646.6231158,279,0.0
1671844075.4229693,284,0.0
1671844484.3355982,289,100.0
1671844920.136346,294,100.0
1671845333.668567,299,100.0
1671845776.7118397,304,0.0
1671846197.0618367,309,0.0
1671846617.1549065,314,0.0
1671847056.1805794,319,0.0
1671847492.185387,324,100.0
1671847912.240699,329,0.0
1671848354.125664,334,0.0
1671848792.9798925,339,0.0
1671849220.642088,344,0.0
1671849660.8568878,349,0.0
1671850098.9501512,354,0.0
1671850524.651872,359,0.0
1671850936.997822,364,0.0
1671851377.2543824,369,0.0
1671851784.0805442,374,0.0
1671852225.632616,379,0.0
1671852668.3720224,384,0.0
1671853070.2343228,389,0.0
1671853510.1382933,394,0.0
1671853951.193736,399,0.0
1671854374.1343815,404,0.0
1671854816.2736259,409,0.0
1671855255.011477,414,100.0
1671855679.2297542,419,100.0
1671856108.0355134,424,100.0
1671856533.0210733,429,100.0
1671856953.31223,434,100.0
1671857380.8034565,439,100.0
1671857815.4812057,444,100.0
1671858240.4324954,449,100.0
1671858652.819963,454,100.0
1671859092.614002,459,100.0
1671859514.3381495,464,100.0
1671859948.6098554,469,100.0
1671860384.1848776,474,100.0
1671860797.190718,479,100.0
1671861212.8675203,484,100.0
1671861651.6108963,489,100.0
1671862077.6128168,494,100.0
1671862518.8702822,499,100.0
1671862963.5031135,504,100.0
1671863382.4317584,509,100.0
1671863821.2316918,514,100.0
1671864258.8705213,519,100.0
1671864677.3296301,524,100.0
1671865118.3863204,529,100.0
1671865554.317752,534,100.0
1671865930.368557,539,100.0
1671866360.690374,544,100.0
1671866798.0399628,549,100.0
1671867216.5974264,554,100.0
1671867636.8891444,559,100.0
1671868079.92439,564,100.0
1671868489.1788583,569,200.0
1671868917.677923,574,200.0
1671869352.4698374,579,100.0
1671869765.2018833,584,100.0
1671870194.4874601,589,100.0
1671870629.837139,594,200.0
1671871050.0299618,599,200.0
1671871469.5080118,604,200.0
1671871906.3750985,609,100.0
1671872302.1926959,614,100.0
1671872727.4507432,619,100.0
1671873165.743667,624,100.0
1671873588.0456507,629,100.0
1671874023.3432257,634,100.0
1671874435.5269344,639,100.0
1671874823.2497702,644,100.0
1671875242.7469962,649,100.0
1671875677.3241959,654,100.0
1671876096.9701622,659,100.0
1671876534.556272,664,100.0
1671876970.6579938,669,200.0
1671877384.246206,674,100.0
1671877825.663455,679,100.0
1671878229.7027066,684,100.0
1671878647.4167378,689,100.0
1671879087.3183715,694,100.0
1671879523.3661947,699,100.0
1671879934.4538236,704,100.0
1671880369.8880873,709,100.0
1671880782.2311976,714,100.0
1671881197.8129208,719,100.0
1671881640.935286,724,100.0
1671882075.413653,729,200.0
1671882484.3716264,734,100.0
1671882920.4246707,739,100.0
1671883324.318003,744,100.0
1671883741.3027651,749,0.0
1671884177.9889946,754,100.0
1671884612.8796332,759,0.0
1671885022.7481084,764,0.0
1671885439.13426,769,100.0
1671885876.3744092,774,100.0
1671886293.2391882,779,100.0
1671886694.13409,784,100.0
1671887128.7441187,789,100.0
1671887525.2700694,794,100.0
1671887964.471285,799,100.0
1671888393.9385436,804,100.0
1671888794.4524102,809,200.0
1671889212.4246123,814,100.0
1671889639.1845803,819,100.0
1671890053.4888704,824,100.0
1671890486.4161098,829,100.0
1671890898.0320914,834,100.0
1671891315.3712564,839,100.0
1671891731.088544,844,100.0
1671892165.6944294,849,100.0
1671892584.36635,854,100.0
1671893025.5041375,859,200.0
1671893457.5609188,864,200.0
1671893873.1492102,869,200.0
1671894311.8767579,874,200.0
1671894744.3984191,879,100.0
1671895143.6003482,884,100.0
1671895583.3004515,889,100.0
1671896015.561969,894,100.0
1671896409.1076796,899,200.0
1671896843.6715932,904,200.0
1671897275.7138765,909,100.0
1671897694.1676295,914,200.0
1671898133.6124692,919,100.0
1671898570.7700777,924,200.0
1671898982.071291,929,200.0
1671899400.776558,934,200.0
1671899821.3159573,939,100.0
1671900233.8140893,944,0.0
1671900670.6957235,949,0.0
1671901108.0364137,954,0.0
1671901521.4473925,959,0.0
1671901952.9374087,964,100.0
1671902391.1196396,969,200.0
1671902804.4114926,974,100.0
1671903241.4432847,979,0.0
1671903681.4102943,984,0.0
1671904099.5471494,989,0.0
1671904539.2422333,994,200.0
1671904960.8059685,999,100.0
1671905374.322071,1004,100.0
1671905808.8056757,1009,200.0
1671906245.6111166,1014,200.0
1671906658.9779875,1019,0.0
1671907095.8199377,1024,0.0
1671907530.0076632,1029,0.0
1671907946.5101087,1034,100.0
1671908379.4538562,1039,100.0
1671908813.3780522,1044,100.0
1671909224.305005,1049,200.0
1671909658.3218722,1054,100.0
1671910097.821976,1059,100.0
1671910515.640668,1064,200.0
1671910943.3449938,1069,200.0
1671911375.5154243,1074,0.0
1671911788.9286149,1079,0.0
1671912227.8750536,1084,100.0
1671912660.0355582,1089,200.0
1671913070.662123,1094,200.0
1671913502.5608916,1099,100.0
1671913939.5352926,1104,0.0
1671914356.5202858,1109,100.0
1671914794.0250657,1114,100.0
1671915223.5026119,1119,100.0
1671915637.3768108,1124,0.0
1671916049.9613411,1129,0.0
1671916477.4995725,1134,0.0
1671916889.4954596,1139,0.0
1671917264.291386,1144,0.0
1671917688.4841022,1149,0.0
1671918095.8300653,1154,0.0
1671918525.3526933,1159,0.0
1671918957.7987626,1164,0.0
1671919365.2210875,1169,0.0
1671919784.4681954,1174,0.0
