Wall time,Step,Value
1670598289.4584765,0,0.0
1670598718.7429523,4,300.0
1670599126.6777658,9,100.0
1670599527.5421627,14,200.0
1670599957.574188,19,100.0
1670600369.9386897,24,200.0
1670600777.2901971,29,200.0
1670601196.3361163,34,300.0
1670601622.5285385,39,100.0
1670602026.2386127,44,200.0
1670602451.0320108,49,200.0
1670602852.5041678,54,200.0
1670603255.7917633,59,300.0
1670603690.2034228,64,300.0
1670604113.149733,69,300.0
1670604526.3032668,74,0.0
1670604963.6168623,79,200.0
1670605398.6915736,84,400.0
1670605818.6203272,89,300.0
1670606250.0857553,94,200.0
1670606631.2941768,99,200.0
1670607049.0707476,104,200.0
1670607469.6741824,109,100.0
1670607896.7382925,114,200.0
1670608304.2553737,119,200.0
1670608745.7734005,124,100.0
1670609181.0106661,129,300.0
1670609567.6991138,134,200.0
1670609996.4204378,139,200.0
1670610429.118359,144,200.0
1670610826.5131214,149,300.0
1670611263.6840417,154,0.0
1670611693.4078953,159,200.0
1670612090.1185195,164,200.0
1670612528.8750725,169,200.0
1670612971.6375084,174,300.0
1670613375.900151,179,300.0
1670613795.0881212,184,300.0
1670614215.226349,189,300.0
1670614615.1470149,194,300.0
1670615040.070112,199,300.0
1670615464.3469174,204,300.0
1670615883.0319612,209,300.0
1670616328.3525069,214,300.0
1670616770.7862058,219,200.0
1670617161.6811266,224,200.0
1670617577.984428,229,300.0
1670618026.3318903,234,200.0
1670618449.7231936,239,200.0
1670618889.0195482,244,200.0
1670619322.5778809,249,300.0
1670619726.0515783,254,300.0
1670620163.084314,259,200.0
1670620586.0377028,264,200.0
1670620972.0311708,269,100.0
1670621406.9851856,274,200.0
1670621842.9627645,279,200.0
1670622256.9214478,284,200.0
1670622687.663445,289,400.0
1670623122.1995776,294,300.0
1670623541.189961,299,400.0
1670623974.847463,304,200.0
1670624412.3976724,309,200.0
1670624813.8182385,314,300.0
1670625268.4493117,319,200.0
1670625702.8220391,324,300.0
1670626108.8361907,329,200.0
1670626542.159905,334,200.0
1670626966.4435005,339,200.0
1670627370.6595929,344,200.0
1670627804.1099865,349,200.0
1670628221.3450751,354,300.0
1670628628.1425488,359,100.0
1670629055.319618,364,300.0
1670629460.1254888,369,100.0
1670629862.623946,374,100.0
1670630290.4325159,379,100.0
1670630732.343481,384,200.0
1670631158.111619,389,200.0
1670631595.5352783,394,300.0
1670631994.2426467,399,300.0
1670632379.500851,404,300.0
1670632818.1417189,409,200.0
1670633255.5633054,414,300.0
1670633665.1698384,419,200.0
1670634094.8845453,424,200.0
1670634524.3938665,429,300.0
1670634931.0159688,434,300.0
1670635344.9269671,439,300.0
1670635767.5275924,444,300.0
1670636168.1788733,449,200.0
1670636607.2183175,454,200.0
1670637052.365512,459,200.0
1670637475.2398713,464,200.0
