Wall time,Step,Value
1671819384.6035235,0,0.0
1671819753.9088233,4,300.0
1671820171.4634693,9,0.0
1671820582.0327756,14,0.0
1671821023.9522703,19,0.0
1671821474.9140668,24,0.0
1671821945.9863708,29,0.0
1671822386.4853914,34,0.0
1671822837.9323227,39,100.0
1671823260.1709094,44,100.0
1671823702.8989284,49,0.0
1671824136.4777448,54,0.0
1671824560.9191442,59,300.0
1671824991.2090044,64,200.0
1671825429.8673763,69,100.0
1671825858.2689445,74,200.0
1671826287.3968241,79,100.0
1671826739.1949139,84,100.0
1671827142.5832133,89,200.0
1671827598.193097,94,300.0
1671828035.8067126,99,200.0
1671828465.4830186,104,200.0
1671828903.8624911,109,200.0
1671829327.7807286,114,100.0
1671829740.6472735,119,300.0
1671830231.5194142,124,200.0
1671830688.9286308,129,300.0
1671831081.9106488,134,300.0
1671831531.5675154,139,200.0
1671831982.9284093,144,200.0
1671832404.7152832,149,200.0
1671832860.815777,154,300.0
1671833320.932663,159,300.0
1671833752.9684808,164,300.0
1671834210.9300222,169,300.0
1671834686.8920758,174,300.0
1671835095.8686414,179,300.0
1671835548.0341394,184,200.0
1671835999.3191595,189,0.0
1671836436.6507912,194,100.0
1671836901.8076508,199,200.0
1671837369.157589,204,100.0
1671837796.3212388,209,200.0
1671838262.0925512,214,200.0
1671838727.5282214,219,100.0
1671839154.7612817,224,300.0
1671839613.1736794,229,200.0
1671840060.1178367,234,0.0
1671840452.5154243,239,100.0
1671840910.0553188,244,100.0
1671841378.1061828,249,200.0
1671841802.5990658,254,200.0
1671842267.5823154,259,200.0
1671842704.340573,264,200.0
1671843113.2332969,269,200.0
1671843562.7096095,274,200.0
1671844011.2551003,279,100.0
1671844395.3163784,284,300.0
1671844839.960515,289,200.0
1671845277.979056,294,100.0
1671845718.8226156,299,0.0
1671846136.7437563,304,300.0
1671846582.248706,309,0.0
1671846988.7052379,314,100.0
1671847443.2240057,319,300.0
1671847965.2778575,324,300.0
1671848403.247345,329,300.0
1671848844.984646,334,200.0
1671849291.0859077,339,300.0
1671849707.4435854,344,200.0
1671850153.8931427,349,0.0
1671850577.800721,354,100.0
1671850980.2655058,359,100.0
1671851440.0190797,364,100.0
1671851899.2785132,369,100.0
1671852335.4985707,374,100.0
1671852794.0091555,379,200.0
1671853240.829621,384,200.0
1671853671.3730054,389,100.0
1671854137.0224452,394,100.0
1671854606.2255156,399,200.0
1671855037.7824714,404,200.0
1671855491.0165,409,300.0
1671855921.893795,414,200.0
1671856319.638188,419,300.0
1671856778.308909,424,200.0
1671857234.8026216,429,200.0
1671857660.7690065,434,300.0
1671858119.6575341,439,200.0
1671858571.9338815,444,200.0
1671858968.2076752,449,200.0
1671859425.2315707,454,100.0
1671859878.7822332,459,300.0
1671860309.5459495,464,300.0
1671860751.3372643,469,200.0
1671861189.0156822,474,300.0
1671861602.5261893,479,100.0
1671862041.6772697,484,0.0
1671862478.7417395,489,0.0
1671862898.53851,494,200.0
1671863369.140289,499,300.0
1671863812.720383,504,0.0
1671864238.687408,509,0.0
1671864739.1766205,514,300.0
1671865192.5403862,519,300.0
1671865632.2503552,524,200.0
1671866072.393573,529,100.0
1671866537.6994803,534,0.0
1671866965.380791,539,300.0
1671867396.5638027,544,300.0
1671867846.2525184,549,300.0
1671868270.0079918,554,300.0
1671868696.9872499,559,300.0
1671869131.0486588,564,300.0
1671869555.4429264,569,100.0
1671870002.1634734,574,0.0
1671870442.2970507,579,300.0
1671870855.696599,584,300.0
1671871311.7008843,589,200.0
1671871746.8658895,594,300.0
