Wall time,Step,Value
1669655551.183165,0,-125.59342956542969
1669655757.7016428,4,-137.30348205566406
1669655972.4023414,9,-132.714599609375
1669656161.3839068,14,-115.45489501953125
1669656360.7682571,19,-136.25372314453125
1669656557.7429225,24,-129.07725524902344
1669656729.915333,29,-112.01377868652344
1669656925.2600472,34,-101.78583526611328
1669657122.2544324,39,-146.4488067626953
1669657295.0153415,44,-125.65667724609375
1669657488.6998353,49,-123.46060180664062
1669657686.712598,54,-107.48087310791016
1669657869.102957,59,-139.45680236816406
1669658064.9386559,64,-145.3085174560547
1669658267.1923184,69,-130.65948486328125
1669658443.177041,74,-115.5001220703125
1669658657.1734083,79,-129.52304077148438
1669658874.8939512,84,-115.43516540527344
1669659067.4940312,89,-113.00977325439453
1669659286.4032586,94,-132.86033630371094
1669659505.7768717,99,-132.4886016845703
1669659696.6678727,104,-120.35011291503906
1669659910.680985,109,-120.08997344970703
1669660110.4152513,114,-132.970947265625
1669660276.3991985,119,-130.74020385742188
1669660459.124385,124,-146.03663635253906
1669660642.1156013,129,-120.89463806152344
1669660802.6554427,134,-123.33113861083984
1669660985.0750446,139,-107.4361801147461
1669661167.81174,144,-123.92466735839844
1669661328.033196,149,-129.81024169921875
1669661508.6647468,154,-72.98563385009766
1669661688.445091,159,-35.797054290771484
1669661846.5079613,164,40.163307189941406
1669662008.4799972,169,20.263227462768555
1669662190.9565325,174,4.3320465087890625
1669662351.5712135,179,1.3757376670837402
1669662531.1295013,184,82.74474334716797
1669662706.5485914,189,64.0821533203125
1669662861.459601,194,-23.534648895263672
1669663052.1193535,199,-55.9567756652832
1669663242.7215338,204,130.58543395996094
1669663433.4316719,209,113.03684997558594
1669663646.0290008,214,12.310722351074219
1669663868.2156425,219,-35.658660888671875
1669664065.9339218,224,-18.18612289428711
1669664278.039221,229,35.337425231933594
1669664495.2466989,234,138.7421875
1669664680.5983112,239,137.19943237304688
1669664893.1161184,244,75.23180389404297
1669665110.3428075,249,94.66921997070312
1669665296.0870671,254,-14.416260719299316
1669665511.8275874,259,139.83151245117188
1669665726.7548106,264,145.56906127929688
1669665905.2901897,269,101.1380615234375
1669666104.8796308,274,207.68353271484375
1669666315.3682358,279,147.20555114746094
1669666501.9974658,284,37.38905334472656
1669666709.227464,289,14.556058883666992
1669666917.512862,294,52.21604537963867
1669667097.8025198,299,86.02716827392578
1669667304.581883,304,91.13822937011719
1669667514.250647,309,13.388197898864746
1669667703.1211658,314,-15.919052124023438
1669667908.2012362,319,128.1824188232422
1669668114.8303246,324,49.43763732910156
1669668297.0022457,329,144.6287841796875
1669668512.6558034,334,96.41024017333984
1669668727.9107223,339,4.919253826141357
1669668917.01327,344,-76.69212341308594
1669669134.8959937,349,-83.77651977539062
1669669344.629066,354,0.5398483276367188
1669669525.4765022,359,148.38633728027344
1669669727.272146,364,32.306121826171875
1669669934.139811,369,133.04638671875
1669670117.7296143,374,-28.559707641601562
1669670323.5683887,379,-45.05097198486328
1669670518.6541169,384,8.095720291137695
1669670695.6265454,389,193.48013305664062
1669670882.1558847,394,39.78360366821289
1669671085.3699055,399,83.5721435546875
1669671266.1190124,404,71.03582763671875
1669671463.3685873,409,18.97637939453125
1669671664.495986,414,156.31060791015625
1669671848.2504046,419,22.135540008544922
1669672053.9545743,424,71.65870666503906
1669672251.4050884,429,59.067848205566406
1669672435.6106641,434,-2.708059310913086
1669672644.403114,439,-18.463817596435547
1669672848.2690003,444,-48.706729888916016
1669673028.4022915,449,2.6657943725585938
1669673238.5061934,454,-42.9496955871582
1669673441.0718699,459,91.1812973022461
1669673628.5317872,464,-73.8319320678711
1669673834.2413273,469,88.26961517333984
1669674036.947339,474,6.852834701538086
1669674223.6888704,479,-48.54820251464844
1669674432.7154763,484,-27.286388397216797
1669674641.9199038,489,18.622207641601562
1669674823.8116534,494,139.84579467773438
