Wall time,Step,Value
1669655912.7435458,0,-122.1990737915039
1669655970.0071075,4,-115.00797271728516
1669656027.2794957,9,-136.05075073242188
1669656075.3051748,14,-125.4194107055664
1669656131.4190435,19,-134.979248046875
1669656188.9630656,24,-114.09225463867188
1669656236.8447964,29,-125.0390625
1669656294.7047768,34,-126.12814331054688
1669656352.021261,39,-112.87043762207031
1669656400.2896492,44,-133.2420654296875
1669656457.85016,49,-119.00529479980469
1669656515.131995,54,-112.20825958251953
1669656563.5162072,59,-119.00373840332031
1669656621.3994734,64,-126.99214935302734
1669656679.0085888,69,-123.44530487060547
1669656727.4629061,74,-125.45928192138672
1669656784.9740882,79,-137.98902893066406
1669656843.2684917,84,-135.28567504882812
1669656890.8707128,89,-126.31221771240234
1669656948.7563174,94,-106.93666076660156
1669657006.2253785,99,-146.83128356933594
1669657054.7427897,104,-115.7859115600586
1669657112.8910077,109,-146.00686645507812
1669657170.9574609,114,-130.1861114501953
1669657219.6973484,119,-129.34738159179688
1669657277.8303826,124,-131.8795166015625
1669657335.6396692,129,-129.07534790039062
1669657384.2955198,134,-137.7729949951172
1669657442.5423543,139,-145.7838592529297
1669657500.0129929,144,-135.0694580078125
1669657548.6044812,149,-147.20436096191406
1669657606.6483774,154,-140.62100219726562
1669657664.0736504,159,-146.65550231933594
1669657712.6627846,164,-116.16825866699219
1669657770.5825117,169,-149.91064453125
1669657828.129792,174,-164.8247528076172
1669657876.4891758,179,-169.46536254882812
1669657933.0697384,184,-134.5209197998047
1669657990.5631475,189,-176.96470642089844
1669658038.990947,194,-169.46578979492188
1669658096.6144233,199,-136.68319702148438
1669658154.0759137,204,-165.6016845703125
1669658202.6448126,209,-151.97262573242188
1669658259.9643686,214,-155.42640686035156
1669658317.1567183,219,-133.04129028320312
1669658365.4190657,224,-207.36810302734375
1669658421.8200636,229,-214.25540161132812
1669658478.5994399,234,-238.51522827148438
1669658527.1411812,239,-238.112060546875
1669658585.9744222,244,-189.1755828857422
1669658645.3671672,249,-224.36598205566406
