Wall time,Step,Value
1670511985.2393763,71,100.0
1670512091.9816148,144,100.0
1670512197.925402,216,100.0
1670512300.4345963,288,100.0
1670512403.171682,360,100.0
1670512506.7283835,433,100.0
1670512616.2502372,505,0.0
1670512726.7124383,577,0.0
1670512835.1961412,649,0.0
1670512945.0960436,722,0.0
1670513054.7197838,794,0.0
1670513164.7866197,866,0.0
1670513275.3772717,938,0.0
1670513386.8392205,1011,0.0
1670513496.8587341,1083,0.0
1670513604.762027,1155,0.0
1670513716.3870325,1227,0.0
1670513825.1268651,1299,0.0
1670513933.814795,1372,100.0
1670514040.88453,1444,0.0
1670514150.2633064,1516,0.0
1670514257.193,1588,100.0
1670514367.9919353,1661,0.0
1670514479.0271237,1733,0.0
1670514587.8510556,1805,0.0
1670514697.2307308,1877,100.0
1670514808.8907385,1950,0.0
1670514918.4025736,2022,100.0
1670515027.9228735,2094,0.0
1670515136.4729068,2166,0.0
1670515245.2507703,2239,0.0
1670515354.313642,2311,0.0
1670515464.497041,2383,100.0
1670515574.5022473,2455,0.0
1670515684.6659076,2528,0.0
1670515794.3663523,2600,0.0
1670515905.1205697,2672,0.0
1670516015.4339733,2744,100.0
1670516125.6471314,2817,0.0
1670516236.0663588,2889,0.0
1670516346.2613945,2961,100.0
1670516452.732973,3033,0.0
1670516561.5329773,3106,0.0
1670516671.4486346,3178,200.0
1670516779.993848,3250,0.0
1670516890.2660806,3322,100.0
1670516999.6476984,3394,0.0
1670517110.0872269,3467,200.0
1670517218.9273899,3539,0.0
1670517330.311491,3611,0.0
1670517440.3594532,3683,100.0
1670517549.562421,3756,0.0
1670517659.3432198,3828,0.0
1670517768.8830152,3900,0.0
1670517876.6523185,3972,100.0
1670517985.2686217,4045,100.0
1670518095.7134335,4117,0.0
1670518206.2150657,4189,100.0
1670518312.5164025,4261,0.0
1670518422.6888218,4334,100.0
1670518531.4080076,4406,0.0
1670518641.2524118,4478,0.0
1670518747.5146112,4550,0.0
1670518856.8603723,4623,0.0
1670518968.2376568,4695,0.0
1670519076.246299,4767,0.0
1670519184.522198,4839,100.0
1670519292.2300942,4912,0.0
1670519402.657521,4984,0.0
1670519514.076829,5056,0.0
1670519623.1892848,5128,100.0
1670519734.4778965,5201,0.0
1670519844.0276613,5273,200.0
1670519955.4372368,5345,0.0
1670520066.7695236,5417,0.0
1670520177.0146418,5490,0.0
1670520286.053125,5562,0.0
1670520397.8541813,5634,0.0
1670520508.260119,5706,0.0
1670520619.294602,5778,0.0
1670520729.0423942,5851,0.0
1670520840.9727242,5923,100.0
1670520950.246315,5995,0.0
1670521061.9999335,6067,0.0
1670521171.7700539,6140,100.0
1670521279.921569,6212,0.0
1670521390.6169736,6284,100.0
1670521501.3201156,6356,100.0
1670521608.0684083,6429,0.0
1670521718.4885058,6501,0.0
1670521827.953724,6573,0.0
1670521935.5308692,6645,0.0
1670522045.1726966,6718,0.0
1670522155.6617782,6790,100.0
1670522265.5794756,6862,0.0
1670522375.9520147,6934,0.0
1670522485.2423642,7007,0.0
1670522595.7377396,7079,0.0
1670522705.6877294,7151,0.0
1670522814.8269486,7223,0.0
1670522925.5449872,7296,0.0
1670523036.055518,7368,0.0
1670523145.5945768,7440,0.0
1670523253.6292264,7512,0.0
1670523362.9557054,7585,0.0
1670523472.7195547,7657,0.0
1670523582.8051417,7729,0.0
1670523693.8393474,7801,0.0
1670523805.3235984,7873,0.0
1670523914.9359782,7946,0.0
1670524019.2953212,8018,0.0
1670524131.4775379,8090,100.0
1670524231.7843447,8162,0.0
1670524333.3431728,8235,100.0
1670524437.235268,8307,100.0
1670524546.5694761,8379,0.0
1670524650.3332875,8451,0.0
1670524751.1574485,8524,100.0
1670524864.981735,8596,100.0
1670524976.5419712,8668,200.0
1670525091.6415718,8740,100.0
1670525205.788685,8813,100.0
1670525319.3374267,8885,100.0
1670525431.8672724,8957,100.0
1670525541.7672462,9029,0.0
1670525651.4010317,9102,0.0
1670525760.4428504,9174,0.0
1670525868.9380462,9246,0.0
1670525979.8339372,9318,100.0
1670526089.4320855,9391,0.0
1670526199.4179597,9463,200.0
1670526307.4452696,9535,100.0
1670526417.5787046,9607,100.0
1670526524.8415248,9680,0.0
1670526630.254532,9752,0.0
1670526739.4443789,9824,100.0
1670526849.9517336,9896,100.0
1670526958.4483304,9968,0.0
1670527067.831225,10041,0.0
1670527176.8839924,10113,0.0
1670527285.8297834,10185,0.0
1670527395.5327988,10257,100.0
1670527503.71026,10330,0.0
1670527612.929041,10402,0.0
1670527723.1595418,10474,0.0
1670527832.7174237,10546,0.0
1670527941.984142,10619,0.0
1670528052.4970973,10691,0.0
1670528163.7596965,10763,0.0
1670528274.4778495,10835,0.0
1670528385.2635543,10908,0.0
1670528494.324603,10980,0.0
1670528600.1251445,11052,0.0
1670528709.3994737,11124,0.0
1670528817.755337,11197,0.0
1670528928.0045755,11269,0.0
