Wall time,Step,Value
1670516053.937359,0,0.0
1670516344.000305,4,0.0
1670516626.3382194,9,200.0
1670516879.3081424,14,100.0
1670517090.8476462,19,100.0
1670517357.7429945,24,200.0
1670517618.644493,29,200.0
1670517911.1703076,34,200.0
1670518181.3148825,39,100.0
1670518382.253004,44,300.0
1670518602.8676362,49,200.0
1670518826.0247285,54,300.0
1670519032.9860628,59,300.0
1670519248.5415125,64,0.0
1670519463.014958,69,100.0
1670519664.3220596,74,200.0
1670519878.0323548,79,200.0
1670520094.3514206,84,200.0
1670520293.9295866,89,100.0
1670520504.844809,94,300.0
1670520726.1392026,99,200.0
1670520927.5894408,104,200.0
1670521141.6209118,109,100.0
1670521361.4223256,114,200.0
1670521560.929827,119,300.0
1670521778.3460126,124,300.0
1670521993.4261258,129,100.0
1670522190.0562057,134,200.0
1670522404.2542155,139,200.0
1670522626.515518,144,300.0
1670522826.9008949,149,200.0
1670523041.0272381,154,200.0
1670523258.5325449,159,400.0
1670523458.762306,164,200.0
1670523674.0313644,169,300.0
1670523894.748044,174,300.0
1670524098.233168,179,300.0
1670524311.1110778,184,100.0
1670524531.7628279,189,300.0
1670524736.124099,194,300.0
1670524949.3468983,199,200.0
1670525174.1301882,204,200.0
1670525380.6153305,209,200.0
1670525598.9843743,214,100.0
1670525822.7457829,219,300.0
1670526029.2729938,224,100.0
1670526276.5822697,229,300.0
1670526558.7037828,234,300.0
1670526826.437709,239,200.0
1670527119.6078665,244,200.0
1670527401.371007,249,300.0
1670527656.9174502,254,300.0
1670527957.9241865,259,200.0
1670528251.565193,264,200.0
1670528517.527854,269,200.0
1670528802.51762,274,200.0
1670529092.9864643,279,300.0
1670529360.8626812,284,300.0
1670529653.6983,289,200.0
1670529942.3636184,294,300.0
1670530214.964458,299,200.0
1670530498.572062,304,100.0
1670530789.7299252,309,300.0
1670531053.254751,314,300.0
1670531353.4119034,319,300.0
1670531637.4277182,324,300.0
1670531900.8203735,329,300.0
1670532197.6287615,334,200.0
1670532501.9721115,339,100.0
1670532774.426719,344,200.0
1670533058.599732,349,300.0
1670533354.637966,354,300.0
1670533640.9849262,359,300.0
