Wall time,Step,Value
1670598276.7108755,0,0.0
1670598700.7201223,4,200.0
1670599114.1488445,9,200.0
1670599517.8416493,14,0.0
1670599938.3280084,19,100.0
1670600355.138537,24,200.0
1670600754.8651187,29,200.0
1670601179.3596423,34,100.0
1670601608.8599684,39,200.0
1670602005.489436,44,200.0
1670602434.6458538,49,200.0
1670602834.365441,54,300.0
1670603246.0734315,59,100.0
1670603666.2028818,64,200.0
1670604099.9935112,69,300.0
1670604515.6291487,74,300.0
1670604947.3652818,79,100.0
1670605370.333684,84,0.0
1670605787.033866,89,200.0
1670606223.4436047,94,200.0
1670606596.8293664,99,200.0
1670607016.141355,104,300.0
1670607436.7204838,109,100.0
1670607866.8211205,114,200.0
1670608266.6705737,119,100.0
1670608694.6786957,124,200.0
1670609124.5072618,129,200.0
1670609538.615694,134,0.0
1670609954.4826887,139,100.0
1670610395.5452867,144,300.0
1670610809.1611192,149,300.0
1670611240.5377786,154,300.0
1670611679.9096742,159,300.0
1670612087.9872558,164,200.0
1670612517.75721,169,300.0
1670612950.431585,174,400.0
1670613357.3317919,179,300.0
1670613785.5516174,184,100.0
1670614216.8132603,189,200.0
1670614643.760173,194,200.0
1670615064.0986598,199,200.0
1670615464.8201296,204,400.0
1670615868.9289713,209,200.0
1670616300.045112,214,200.0
1670616742.0838397,219,300.0
1670617123.2168558,224,100.0
1670617550.41561,229,300.0
1670617989.5145986,234,200.0
1670618404.8409584,239,300.0
1670618845.7141092,244,200.0
1670619290.7803974,249,200.0
1670619708.1163204,254,200.0
1670620143.30312,259,300.0
1670620569.7527277,264,200.0
1670620966.3568332,269,200.0
1670621400.4708824,274,200.0
1670621833.00014,279,300.0
1670622250.6678617,284,200.0
1670622685.333416,289,300.0
1670623121.7402978,294,200.0
1670623547.19356,299,200.0
1670623987.9786043,304,200.0
1670624427.56869,309,200.0
1670624835.9031293,314,200.0
1670625283.337573,319,300.0
1670625714.5034156,324,400.0
1670626122.8770814,329,300.0
1670626558.9007308,334,100.0
1670626982.990279,339,200.0
1670627378.9454973,344,200.0
1670627824.148739,349,200.0
1670628252.216144,354,200.0
1670628667.5306075,359,100.0
1670629098.3454576,364,200.0
1670629523.91626,369,300.0
1670629941.1764855,374,200.0
1670630370.9385016,379,0.0
1670630799.5272007,384,200.0
1670631213.7872608,389,300.0
1670631643.2786248,394,300.0
1670632016.8446414,399,200.0
1670632414.6098993,404,200.0
1670632848.8766522,409,400.0
1670633287.278197,414,300.0
1670633703.7287004,419,300.0
1670634137.4682424,424,300.0
1670634574.9280157,429,200.0
1670634987.2678885,434,100.0
1670635433.9869018,439,200.0
1670635881.0277212,444,200.0
1670636288.000539,449,100.0
1670636707.8506525,454,300.0
1670637134.8739939,459,200.0
1670637561.6623945,464,200.0
1670637999.7815259,469,100.0
1670638419.8696125,474,200.0
1670638827.7693875,479,200.0
1670639263.4076505,484,100.0
1670639696.0212939,489,100.0
1670640108.7949886,494,200.0
1670640540.538138,499,400.0
1670640976.4416454,504,200.0
1670641389.573866,509,200.0
1670641830.8197014,514,300.0
1670642271.4089508,519,300.0
1670642688.1893902,524,200.0
1670643126.2380004,529,300.0
1670643567.3350255,534,200.0
1670643973.1900496,539,100.0
1670644396.9653013,544,300.0
1670644833.4772758,549,300.0
1670645248.5345333,554,100.0
1670645692.6953475,559,200.0
1670646139.0402873,564,100.0
1670646553.1429121,569,300.0
1670646991.6734586,574,200.0
1670647419.3123248,579,300.0
1670647822.4442317,584,200.0
1670648260.5282085,589,200.0
1670648698.028929,594,300.0
1670649115.1725023,599,200.0
1670649560.7443542,604,300.0
1670649981.7943492,609,300.0
1670650364.658463,614,200.0
1670650753.332712,619,300.0
1670651184.660511,624,200.0
1670651591.3689997,629,300.0
1670652019.443715,634,200.0
1670652437.0793748,639,200.0
1670652831.0956743,644,200.0
1670653258.647365,649,300.0
1670653687.4940972,654,100.0
1670654100.6166863,659,200.0
1670654520.5064876,664,0.0
1670654938.7516465,669,200.0
1670655354.2923036,674,200.0
1670655785.0040674,679,300.0
1670656219.2927217,684,400.0
1670656621.9320116,689,300.0
1670657055.1441386,694,300.0
1670657493.1337395,699,300.0
1670657903.0577297,704,300.0
1670658330.410599,709,200.0
1670658758.7055116,714,400.0
1670659175.0407534,719,200.0
1670659612.521601,724,300.0
1670660052.3112683,729,300.0
1670660467.990032,734,300.0
1670660901.3792267,739,200.0
1670661331.3372498,744,0.0
1670661735.2696612,749,200.0
1670662172.0462584,754,200.0
1670662608.1712015,759,300.0
1670663026.7133665,764,300.0
1670663465.9188719,769,300.0
1670663887.5420167,774,400.0
1670664300.8736773,779,400.0
1670664733.1712542,784,200.0
1670665177.7405393,789,200.0
1670665603.7729032,794,300.0
1670666037.6773136,799,0.0
1670666473.5848637,804,200.0
1670666894.3346114,809,300.0
1670667329.8892105,814,100.0
1670667773.7598572,819,300.0
1670668196.4372864,824,200.0
1670668629.3353715,829,200.0
1670669061.646573,834,100.0
1670669483.0489845,839,200.0
1670669928.3558235,844,100.0
1670670361.2069674,849,0.0
1670670764.807008,854,100.0
1670671199.8473969,859,200.0
1670671629.954727,864,300.0
1670672047.802918,869,300.0
1670672474.466527,874,300.0
1670672919.0289285,879,200.0
1670673334.3308682,884,200.0
1670673775.5205665,889,200.0
1670674204.4356983,894,200.0
1670674615.9839256,899,300.0
1670675063.904068,904,200.0
1670675504.399098,909,100.0
1670675924.0026128,914,200.0
1670676372.694029,919,300.0
1670676808.313049,924,100.0
1670677220.842119,929,300.0
1670677652.9754434,934,300.0
1670678096.8316145,939,200.0
1670678518.7647011,944,200.0
1670678955.955702,949,100.0
1670679390.7317526,954,300.0
1670679816.345859,959,300.0
1670680254.0471518,964,400.0
1670680688.352422,969,400.0
1670681093.1826375,974,400.0
1670681525.5685623,979,300.0
1670681972.365423,984,200.0
1670682388.4858103,989,200.0
1670682820.9424207,994,400.0
1670683254.5612078,999,300.0
1670683676.4709044,1004,400.0
1670684108.4555964,1009,300.0
1670684555.7819495,1014,300.0
1670684977.5798147,1019,200.0
1670685423.3565328,1024,300.0
1670685868.6989272,1029,200.0
1670686284.0640633,1034,100.0
1670686697.8365967,1039,100.0
1670687134.1179771,1044,200.0
1670687543.6141777,1049,300.0
1670687985.8792524,1054,200.0
1670688426.758673,1059,300.0
1670688839.7547042,1064,200.0
1670689278.1757088,1069,300.0
1670689705.2962961,1074,300.0
1670690113.0898285,1079,300.0
1670690553.6854463,1084,300.0
1670691001.3454564,1089,200.0
1670691427.8023221,1094,200.0
1670691871.5749161,1099,200.0
1670692309.3022203,1104,100.0
1670692736.3169057,1109,300.0
1670693174.773412,1114,400.0
1670693592.3042912,1119,400.0
1670693993.165602,1124,400.0
1670694407.69493,1129,300.0
1670694856.2866027,1134,300.0
1670695279.880194,1139,300.0
1670695714.7140634,1144,200.0
1670696156.4662657,1149,300.0
1670696578.856897,1154,300.0
1670697026.3544288,1159,200.0
1670697471.2456067,1164,200.0
1670697890.4889038,1169,200.0
1670698321.8782413,1174,400.0
1670698756.2288132,1179,300.0
1670699155.8890119,1184,400.0
1670699604.876005,1189,300.0
1670700045.0833244,1194,200.0
1670700466.8763187,1199,300.0
1670700911.466806,1204,200.0
1670701347.039707,1209,0.0
1670701746.712411,1214,100.0
1670702161.5769746,1219,300.0
1670702593.129986,1224,300.0
1670703003.1794798,1229,300.0
1670703434.2333267,1234,200.0
1670703858.0319347,1239,400.0
1670704249.1460493,1244,400.0
1670704660.008515,1249,300.0
1670705088.1239765,1254,300.0
1670705488.7994287,1259,300.0
1670705912.6203175,1264,300.0
1670706331.8689816,1269,300.0
1670706738.6138637,1274,200.0
1670707168.0990467,1279,200.0
1670707598.4158072,1284,300.0
1670707996.0923514,1289,400.0
1670708417.9373863,1294,200.0
1670708837.233449,1299,100.0
1670709221.64395,1304,200.0
1670709635.2326295,1309,300.0
1670710067.8703415,1314,200.0
1670710472.5621917,1319,200.0
1670710898.4381828,1324,200.0
1670711320.2136343,1329,100.0
1670711707.922625,1334,300.0
1670712120.9735687,1339,400.0
1670712554.6343875,1344,200.0
1670712961.2105677,1349,100.0
1670713389.447019,1354,200.0
1670713808.5325089,1359,400.0
1670714204.536597,1364,400.0
1670714627.00715,1369,200.0
1670715056.9984066,1374,200.0
1670715465.2578676,1379,200.0
1670715890.6967366,1384,200.0
1670716323.3580654,1389,200.0
1670716731.261444,1394,200.0
1670717160.1901274,1399,400.0
1670717582.5762844,1404,300.0
1670717979.9981732,1409,100.0
1670718397.2430122,1414,300.0
1670718817.18801,1419,400.0
1670719208.0255032,1424,300.0
1670719637.6454773,1429,200.0
1670720059.9117815,1434,100.0
1670720468.3780735,1439,200.0
1670720895.6189208,1444,200.0
1670721309.938454,1449,300.0
1670721706.0949726,1454,300.0
1670722131.9035292,1459,400.0
1670722555.6684241,1464,300.0
1670722952.1536148,1469,400.0
1670723379.1768024,1474,100.0
1670723806.6334224,1479,200.0
1670724208.2794616,1484,100.0
1670724627.7726839,1489,300.0
1670725039.8455505,1494,400.0
1670725436.6473498,1499,300.0
1670725861.5242593,1504,300.0
1670726289.3566995,1509,200.0
1670726692.2139008,1514,400.0
1670727117.051457,1519,300.0
1670727542.3389328,1524,100.0
1670727947.52142,1529,200.0
1670728378.303328,1534,300.0
1670728801.5763047,1539,200.0
1670729191.5866735,1544,300.0
1670729617.798408,1549,300.0
1670730032.588657,1554,400.0
1670730438.9611528,1559,300.0
1670730868.0966759,1564,300.0
1670731278.9155838,1569,400.0
