Wall time,Step,Value
1670511552.918589,0,0.0
1670512024.9226182,4,400.0
1670512590.8830576,9,0.0
1670513156.284296,14,200.0
1670513738.772081,19,200.0
1670514325.0382078,24,300.0
1670514889.8044667,29,100.0
1670515479.518097,34,100.0
1670516072.87977,39,100.0
1670516636.0420237,44,100.0
1670517214.8736982,49,100.0
1670517798.494926,54,100.0
1670518368.713338,59,0.0
1670518958.2061107,64,0.0
1670519527.1692986,69,100.0
1670520099.7862077,74,200.0
1670520687.2137232,79,200.0
1670521276.4022224,84,100.0
1670521853.1615114,89,200.0
1670522435.5380998,94,200.0
1670523025.0639663,99,200.0
1670523582.6485145,104,200.0
1670524171.5586858,109,200.0
1670524760.4902337,114,0.0
1670525319.9321074,119,200.0
1670525901.3769536,124,0.0
1670526486.2408457,129,200.0
1670527065.1988595,134,200.0
1670527659.6236103,139,200.0
1670528244.0574155,144,100.0
1670528798.875412,149,200.0
1670529391.4726644,154,100.0
1670529980.720268,159,0.0
1670530524.046763,164,200.0
1670531122.8316817,169,300.0
1670531703.6184964,174,0.0
1670532279.105938,179,200.0
1670532871.21078,184,200.0
1670533446.6197882,189,100.0
1670534015.5397177,194,100.0
1670534587.1103656,199,100.0
1670535162.7769704,204,0.0
1670535720.9770906,209,200.0
1670536306.096708,214,100.0
1670536885.6174972,219,100.0
1670537451.9228652,224,0.0
1670538039.9366772,229,0.0
1670538632.0064127,234,200.0
1670539218.7860935,239,200.0
1670539808.2359269,244,0.0
1670540377.1819794,249,200.0
1670540941.9688873,254,100.0
1670541529.1955695,259,0.0
1670542121.4089816,264,0.0
1670542689.7020504,269,0.0
1670543268.6200795,274,100.0
1670543839.762531,279,100.0
1670544408.234133,284,200.0
1670544998.368653,289,200.0
1670545582.6587527,294,200.0
1670546142.659603,299,300.0
1670546743.7434232,304,100.0
1670547343.0080876,309,100.0
1670547923.3453803,314,300.0
1670548507.7735045,319,300.0
1670549084.850364,324,200.0
1670549651.9406848,329,200.0
1670550210.4443488,334,0.0
1670550789.672792,339,100.0
1670551365.6430733,344,0.0
1670551884.8585546,349,200.0
1670552470.491755,354,300.0
1670553044.6528218,359,100.0
1670553580.371532,364,100.0
1670554175.9410493,369,0.0
1670554748.86621,374,100.0
1670555333.8174934,379,200.0
1670555920.4899242,384,200.0
1670556494.2368963,389,0.0
1670557088.2629158,394,100.0
1670557676.145643,399,300.0
1670558241.8402796,404,100.0
1670558813.4279141,409,200.0
1670559397.2194695,414,0.0
1670559923.1887293,419,0.0
1670560503.9471989,424,0.0
1670561075.4544454,429,200.0
1670561657.8761046,434,200.0
1670562245.9897134,439,200.0
1670562837.1192136,444,100.0
1670563419.122258,449,200.0
1670564009.8376267,454,200.0
1670564598.1415174,459,100.0
1670565150.9914348,464,0.0
1670565689.5180078,469,0.0
1670566266.201781,474,0.0
1670566836.5745175,479,100.0
1670567421.7669034,484,200.0
1670568021.8200026,489,200.0
1670568595.9233987,494,300.0
1670569159.0377243,499,300.0
1670569727.7078772,504,200.0
1670570307.1716142,509,100.0
1670570903.1221812,514,200.0
1670571492.9564712,519,100.0
1670572079.2097597,524,100.0
1670572666.980492,529,200.0
1670573260.8934865,534,100.0
1670573837.2993774,539,200.0
1670574432.4395683,544,100.0
1670575025.934453,549,0.0
1670575608.6785145,554,0.0
1670576199.3060699,559,0.0
1670576791.1547945,564,0.0
1670577365.1660151,569,0.0
1670577945.4450748,574,0.0
1670578531.2014043,579,0.0
1670579111.9614947,584,100.0
1670579704.3323638,589,0.0
1670580272.856644,594,0.0
1670580840.6610324,599,0.0
1670581410.9984498,604,100.0
1670581995.0379689,609,0.0
1670582568.9139807,614,100.0
1670583167.3934336,619,0.0
1670583744.2436302,624,100.0
1670584333.8265035,629,100.0
1670584932.676333,634,200.0
1670585541.1764688,639,100.0
1670586119.4046214,644,200.0
1670586711.8690498,649,200.0
1670587298.2557397,654,0.0
1670587869.8987474,659,100.0
1670588449.3846312,664,100.0
1670589029.4101343,669,200.0
1670589606.798089,674,0.0
1670590178.5250685,679,200.0
1670590764.0013351,684,100.0
1670591348.0396404,689,100.0
1670591941.3871045,694,100.0
1670592533.5749743,699,0.0
1670593109.139265,704,200.0
1670593709.530984,709,100.0
1670594307.671823,714,100.0
1670594878.0470464,719,200.0
1670595471.5472975,724,200.0
1670596056.4041567,729,200.0
1670596636.7941604,734,200.0
