Wall time,Step,Value
1672882594.6673684,0,-44.44444274902344
1672882649.2298853,3,-44.44444274902344
1672882667.7760787,4,-50.0
1672882780.421455,10,-38.88888931274414
1672882799.212143,11,-33.33333206176758
1672882855.6693263,14,-38.88888931274414
1672882874.4966269,15,-16.66666603088379
1672882930.9685316,18,-16.66666603088379
1672882949.8239248,19,-16.66666603088379
1672882968.675748,20,-16.66666603088379
1672883006.3405418,22,-11.111109733581543
1672883025.1553426,23,4.238552548940788e-07
1672883081.518425,26,-11.111108779907227
1672883100.3253126,27,1.0596381798677612e-06
1672883212.8911617,33,1.6954210195763153e-06
1672883269.318696,36,3.178914312229608e-06
1672883288.1627328,37,2.966986812680261e-06
1672883306.9589298,38,1.4834934063401306e-06
1672883325.814368,39,2.1192763597355224e-06
1672883344.6149,40,2.1192763597355224e-06
1672883476.712016,47,2.1192763597355224e-06
1672883495.50421,48,1.0596381798677612e-06
1672883525.9356377,49,2.1192763597355224e-06
1672883563.3181753,51,2.1192763597355224e-06
1672883582.2319927,52,2.119276274470394e-07
1672883620.0194478,54,2.543131586207892e-06
1672883676.65132,57,2.1192763597355224e-06
1672883733.2840395,60,1.6954210195763153e-06
1672883752.1883497,61,1.6954210195763153e-06
1672883771.0537832,62,2.1192763597355224e-06
1672883789.972765,63,1.271565793103946e-06
1672883827.7614086,65,2.1192763597355224e-06
1672883846.5638976,66,2.1192763597355224e-06
1672883865.4045453,67,2.966986812680261e-06
1672883884.2577322,68,1.271565793103946e-06
1672883921.9056938,70,1.271565793103946e-06
1672883940.7099025,71,2.543131586207892e-06
1672884053.5055814,77,-5.555554389953613
1672884091.127834,79,1.271565793103946e-06
1672884109.9466467,80,2.966986812680261e-06
1672884147.4200773,82,2.1192763597355224e-06
1672884166.2331924,83,1.271565793103946e-06
1672884203.8204274,85,8.477105097881577e-07
1672884279.026964,89,2.543131586207892e-06
1672884297.7165012,90,3.3908420391526306e-06
1672884391.4626172,95,1.4834934063401306e-06
1672884477.6396985,99,3.178914312229608e-06
1672884496.3392112,100,2.3312038592848694e-06
1672884552.453508,103,8.477105097881577e-07
1672884608.850813,106,2.1192763597355224e-06
1672884627.6433425,107,-5.555553913116455
1672884665.2201505,109,2.1192763597355224e-06
1672884759.4902334,114,2.1192763597355224e-06
1672884797.3399255,116,2.1192763597355224e-06
1672884891.8869956,121,4.238552548940788e-07
1672884967.5321212,125,1.6954210195763153e-06
1672884986.3860755,126,1.6954210195763153e-06
1672885024.1769037,128,1.6954210195763153e-06
1672885061.8046014,130,2.1192763597355224e-06
1672885080.5613675,131,2.543131586207892e-06
1672885099.3357031,132,1.6954210195763153e-06
1672885174.6652596,136,1.271565793103946e-06
1672885193.4716718,137,2.543131586207892e-06
1672885306.436526,143,8.477105097881577e-07
1672885325.3339257,144,1.6954210195763153e-06
1672885363.0281658,146,1.271565793103946e-06
1672885381.860779,147,2.1192763597355224e-06
1672885449.926884,150,2.3312038592848694e-06
1672885582.2847006,157,2.1192763597355224e-06
1672885620.1202369,159,1.271565793103946e-06
1672885639.0384085,160,-5.555554389953613
1672885676.9051297,162,2.1192763597355224e-06
1672885714.910538,164,2.543131586207892e-06
1672885752.7897875,166,2.1192763597355224e-06
1672885828.5801008,170,2.966986812680261e-06
1672885847.5233488,171,1.6954210195763153e-06
1672885866.4773765,172,1.271565793103946e-06
1672885923.2540874,175,1.6954210195763153e-06
1672885942.1799536,176,2.543131586207892e-06
1672885961.1045702,177,2.1192763597355224e-06
1672885980.0193195,178,1.271565793103946e-06
1672886017.8053412,180,2.1192763597355224e-06
1672886036.6587732,181,4.238552548940788e-07
1672886093.256331,184,2.543131586207892e-06
1672886112.1756713,185,2.543131586207892e-06
1672886131.0737784,186,1.271565793103946e-06
1672886187.8808012,189,2.1192763597355224e-06
1672886206.851413,190,2.1192763597355224e-06
1672886225.8185697,191,2.543131586207892e-06
1672886244.8168316,192,2.3312038592848694e-06
1672886301.704609,195,2.1192763597355224e-06
1672886388.7734897,199,1.271565793103946e-06
1672886407.3536792,200,4.238552548940788e-07
1672886444.9031994,202,1.271565793103946e-06
1672886463.7588072,203,2.543131586207892e-06
1672886482.6730647,204,2.966986812680261e-06
1672886501.6129453,205,2.543131586207892e-06
1672886539.471429,207,2.543131586207892e-06
1672886577.271417,209,-5.555554389953613
1672886615.0498273,211,2.755059085757239e-06
1672886652.8292437,213,1.6954210195763153e-06
1672886690.6562395,215,2.1192763597355224e-06
1672886709.6063488,216,1.6954210195763153e-06
1672886747.4985952,218,1.271565793103946e-06
1672886766.4858046,219,2.1192763597355224e-06
1672886785.4640002,220,2.1192763597355224e-06
1672886804.424529,221,2.543131586207892e-06
1672886823.3441067,222,2.1192763597355224e-06
1672886861.2480059,224,2.966986812680261e-06
1672886880.1692057,225,-5.555552005767822
1672886955.9118598,229,2.543131586207892e-06
1672887069.888977,235,2.543131586207892e-06
1672887107.7696,237,3.3908420391526306e-06
1672887126.6253679,238,2.966986812680261e-06
1672887145.4734626,239,2.543131586207892e-06
1672887183.1999464,241,2.1192763597355224e-06
1672887201.9776616,242,2.966986812680261e-06
1672887239.714791,244,2.1192763597355224e-06
1672887258.57076,245,1.271565793103946e-06
1672887277.4550562,246,2.543131586207892e-06
1672887296.2984538,247,2.1192763597355224e-06
1672887402.0369973,252,2.966986812680261e-06
1672887420.8232038,253,1.6954210195763153e-06
1672887439.7398243,254,2.543131586207892e-06
1672887496.5384984,257,3.3908420391526306e-06
1672887515.4286897,258,2.1192763597355224e-06
1672887534.2924414,259,2.543131586207892e-06
1672887553.1710749,260,1.4834934063401306e-06
1672887590.9162552,262,2.1192763597355224e-06
1672887741.819223,270,2.543131586207892e-06
1672887760.734376,271,8.477105097881577e-07
1672887817.542429,274,2.543131586207892e-06
1672887836.4937692,275,2.966986812680261e-06
1672887855.451814,276,1.6954210195763153e-06
1672887893.385569,278,1.271565793103946e-06
1672887931.3391373,280,2.543131586207892e-06
1672887969.3396058,282,3.3908420391526306e-06
1672887988.3215404,283,2.1192763597355224e-06
1672888026.351527,285,2.966986812680261e-06
1672888064.367252,287,-5.555554389953613
1672888083.3630636,288,2.543131586207892e-06
1672888121.3799047,290,3.3908420391526306e-06
1672888216.4306498,295,2.543131586207892e-06
1672888235.3926444,296,2.1192763597355224e-06
1672888254.3453567,297,2.543131586207892e-06
1672888273.1556695,298,1.6954210195763153e-06
1672888398.2403667,304,2.1192763597355224e-06
1672888436.1096783,306,1.271565793103946e-06
1672888473.9214895,308,2.543131586207892e-06
1672888492.9144394,309,2.543131586207892e-06
1672888550.0035372,312,2.966986812680261e-06
1672888569.0821083,313,2.543131586207892e-06
1672888626.1509812,316,2.1192763597355224e-06
1672888663.9890325,318,2.543131586207892e-06
1672888682.8800468,319,2.543131586207892e-06
1672888739.544706,322,3.178914312229608e-06
1672888777.6630907,324,2.1192763597355224e-06
1672888872.6250694,329,2.543131586207892e-06
1672888891.568102,330,1.9073486328125e-06
1672888910.4902234,331,1.271565793103946e-06
1672888929.43808,332,2.1192763597355224e-06
1672889023.4874249,337,2.1192763597355224e-06
1672889042.264656,338,1.271565793103946e-06
1672889079.986752,340,1.271565793103946e-06
1672889136.530899,343,1.271565793103946e-06
1672889155.413727,344,-5.555554389953613
1672889174.2479188,345,1.271565793103946e-06
1672889193.2349029,346,1.271565793103946e-06
