Wall time,Step,Value
1672882670.334433,0,-44.44444274902344
1672882680.9710019,3,-33.33333206176758
1672882685.1947374,4,-44.44444274902344
1672882712.616792,10,-16.666664123535156
1672882717.1982489,11,-27.77777671813965
1672882731.0091121,14,-11.11111068725586
1672882735.5886052,15,-16.666664123535156
1672882749.4035292,18,-27.77777671813965
1672882753.998634,19,-5.555553913116455
1672882758.592354,20,-5.555553436279297
1672882767.83043,22,-22.22222137451172
1672882772.4332097,23,-16.666664123535156
1672882786.2463822,26,2.543131586207892e-06
1672882790.8448577,27,-27.77777671813965
1672882818.598073,33,-5.555554389953613
1672882832.523504,36,-16.66666603088379
1672882837.1432211,37,-5.555553436279297
1672882841.767578,38,-5.555553913116455
1672882846.4090006,39,-5.555552959442139
1672882851.0436163,40,-5.555553436279297
1672882883.7353685,47,2.1192763597355224e-06
1672882888.3865592,48,2.3312038592848694e-06
1672882896.2916512,49,2.1192763597355224e-06
1672882905.5118384,51,2.755059085757239e-06
1672882910.0893755,52,1.6954210195763153e-06
1672882919.3341355,54,1.6954210195763153e-06
1672882933.2338254,57,2.119276274470394e-07
1672882947.0975869,60,2.3312038592848694e-06
1672882951.7341702,61,2.1192763597355224e-06
1672882956.3551998,62,6.35782896551973e-07
1672882961.002291,63,8.477105097881577e-07
1672882970.2807078,65,4.238552548940788e-07
1672882974.936534,66,1.6954210195763153e-06
1672882979.5821772,67,1.271565793103946e-06
1672882984.2080295,68,2.543131586207892e-06
1672882993.53737,70,2.543131586207892e-06
1672882998.1961262,71,1.6954210195763153e-06
1672883026.04114,77,2.755059085757239e-06
1672883035.31677,79,1.6954210195763153e-06
1672883039.9382708,80,1.271565793103946e-06
1672883049.2175398,82,2.1192763597355224e-06
1672883053.858717,83,2.1192763597355224e-06
1672883063.1417952,85,11.111114501953125
1672883081.68867,89,2.543131586207892e-06
1672883086.3889236,90,27.777780532836914
1672883109.592282,95,3.178914312229608e-06
1672883131.5180206,99,8.477105097881577e-07
1672883136.1485724,100,1.6954210195763153e-06
1672883150.0649014,103,2.1192763597355224e-06
1672883164.0269437,106,2.543131586207892e-06
1672883168.694346,107,1.6954210195763153e-06
1672883177.9897335,109,1.6954210195763153e-06
1672883201.2362487,114,1.6954210195763153e-06
1672883210.5047598,116,1.271565793103946e-06
1672883233.684843,121,1.0596381798677612e-06
1672883252.1779983,125,2.966986812680261e-06
1672883256.7901256,126,1.271565793103946e-06
1672883266.0220726,128,1.6954210195763153e-06
1672883275.2877274,130,4.238552548940788e-07
1672883279.9186537,131,8.477105097881577e-07
1672883284.5349,132,1.9073486328125e-06
1672883303.0032732,136,1.4834934063401306e-06
1672883307.6283584,137,1.9073486328125e-06
1672883335.3648224,143,-5.555553913116455
