Wall time,Step,Value
1672415946.9098108,0,21.255035400390625
1672416307.9374428,9,44.29644775390625
1672416468.340526,14,41.77519989013672
1672416637.5688946,19,48.26316833496094
1672417464.8253167,44,137.2397003173828
1672417634.201347,49,140.76634216308594
1672417808.4444332,54,202.76974487304688
1672418310.320364,69,199.95150756835938
1672418469.5874867,74,211.1481170654297
1672418639.415932,79,212.6136932373047
1672418954.9074621,89,202.90863037109375
1672419128.4732265,94,206.59390258789062
1672419302.8903792,99,402.32611083984375
1672419629.8568308,109,214.61181640625
1672419805.396309,114,199.48916625976562
1672420325.0769362,129,202.838623046875
1672420488.2389688,134,401.9757080078125
1672420659.6143236,139,156.80450439453125
1672420827.7297812,144,400.77960205078125
1672420985.8198516,149,211.36573791503906
1672421482.4253323,164,216.36204528808594
1672421652.7440732,169,406.858642578125
1672421965.5411382,179,213.29425048828125
1672422132.3191838,184,399.1708984375
1672422306.5597334,189,419.38006591796875
1672422472.8951557,194,406.440185546875
1672422645.9219103,199,213.29974365234375
1672423804.2127893,234,210.90255737304688
1672423960.407268,239,403.7987976074219
1672424131.1533277,244,203.73521423339844
1672424282.0225735,249,200.9002685546875
1672424441.9823046,254,399.15972900390625
1672424612.1466503,259,207.91094970703125
1672424779.8451285,264,396.90826416015625
1672424938.8879976,269,399.3792419433594
1672425114.0082932,274,399.6598205566406
1672425437.8209214,284,199.85739135742188
1672425935.6493022,299,400.5812072753906
1672426110.889782,304,398.8116149902344
1672426281.8008494,309,398.68011474609375
1672426438.3286598,314,399.23223876953125
1672426779.8665276,324,205.54835510253906
1672426938.202138,329,400.1751708984375
1672427109.1724474,334,405.25872802734375
1672427279.8889441,339,216.6343231201172
1672427606.5856595,349,399.71685791015625
1672427777.0910556,354,202.49835205078125
1672428106.8898053,364,399.6822509765625
1672428436.6404254,374,399.07086181640625
1672428780.5460892,384,201.26248168945312
1672428939.9982274,389,210.48886108398438
1672429109.9005153,394,404.7503662109375
1672429281.0038946,399,403.74761962890625
1672429592.0071855,409,399.72357177734375
1672429762.156508,414,209.21044921875
1672430089.8668466,424,401.3419189453125
1672430263.2185283,429,398.67626953125
1672430419.861084,434,399.6649475097656
1672430763.7937865,444,399.3771667480469
1672430921.7931492,449,399.75213623046875
1672431778.20529,474,399.1170654296875
1672432449.1905751,494,204.37033081054688
1672432619.1265566,499,408.15521240234375
1672433118.436603,514,401.11724853515625
1672433291.7688534,519,400.3984680175781
1672433620.222194,529,200.33277893066406
1672433794.3760872,534,208.13568115234375
1672433955.275462,539,399.99395751953125
1672434127.1601377,544,207.052734375
1672434303.3361204,549,399.368896484375
1672434462.6528602,554,399.68505859375
1672434636.433983,559,398.948974609375
1672434971.3651805,569,399.52105712890625
1672435143.5369215,574,397.6781005859375
1672435319.232857,579,397.288818359375
1672436164.4683883,604,399.78497314453125
1672436842.7477977,624,398.27020263671875
1672437006.6753807,629,400.1781005859375
1672437355.4429884,639,206.52505493164062
1672437520.2286038,644,400.479248046875
1672437696.6538677,649,398.5213623046875
1672437869.68183,654,399.89605712890625
1672438027.3950958,659,402.10565185546875
1672438370.3178005,669,399.0080261230469
1672438695.4585798,679,399.57916259765625
1672438865.4177153,684,399.87445068359375
1672439024.5769756,689,400.9791259765625
1672439190.1030235,694,398.99395751953125
1672439861.489055,714,406.8616943359375
1672440021.2996197,719,400.3504638671875
1672440191.2087147,724,399.18072509765625
1672440361.0129046,729,398.8829040527344
1672440518.2214022,734,398.14697265625
1672441020.3991663,749,399.91748046875
1672441682.5380208,769,387.73846435546875
1672442011.1655667,779,399.44232177734375
1672442180.3991544,784,202.74456787109375
1672442505.4534643,794,401.2856140136719
1672442675.7968018,799,397.844482421875
1672443004.531288,809,399.8363037109375
1672443177.0582774,814,400.4279479980469
1672443347.0432296,819,400.0533447265625
1672443672.9879608,829,402.1319885253906
1672443999.3143327,839,399.3499450683594
1672444338.515319,849,398.7511291503906
1672444496.8422246,854,398.55218505859375
1672444667.145975,859,399.443603515625
1672444981.5690203,869,402.4292297363281
1672445146.4464464,874,402.36517333984375
1672445317.011887,879,201.245849609375
1672445479.0246685,884,400.19378662109375
1672445651.7957938,889,399.6842346191406
1672445984.5599623,899,400.006591796875
1672446158.4579964,904,399.8641357421875
1672446329.2982984,909,206.97923278808594
1672446490.7585056,914,399.40557861328125
1672446663.9107053,919,399.6866149902344
1672446835.402071,924,401.5509338378906
1672446994.6145854,929,400.1540222167969
1672447501.5005558,944,399.794189453125
1672447673.2947414,949,399.5702819824219
1672447846.781481,954,216.0711669921875
1672448004.8910575,959,403.5064697265625
1672448494.3254104,974,203.89952087402344
1672448997.3105404,989,400.4701843261719
1672449170.643862,994,398.85687255859375
1672449345.2343264,999,399.3775634765625
1672449678.1042097,1009,399.210693359375
1672449852.975033,1014,399.5743103027344
1672450015.0165062,1019,400.1170654296875
1672450186.935536,1024,399.6116943359375
1672450516.146563,1034,399.27325439453125
1672450859.3345447,1044,398.7878723144531
1672451190.7540174,1054,398.25732421875
1672451525.1784077,1064,199.62254333496094
1672451870.2816148,1074,399.0710144042969
1672452032.6783533,1079,205.8110809326172
1672452378.8452826,1089,207.2893524169922
1672452540.3614864,1094,400.36871337890625
1672452714.60249,1099,398.9591064453125
1672452886.2293975,1104,400.4147033691406
1672453047.868799,1109,201.49139404296875
1672453367.594636,1119,206.2161865234375
1672453527.9973562,1124,401.7060852050781
1672453700.3013883,1129,399.128173828125
1672454201.1891656,1144,399.5633850097656
1672454532.7380333,1154,399.2616882324219
1672454703.2519658,1159,209.40228271484375
1672455038.0165806,1169,400.049560546875
1672455211.5376174,1174,210.3568572998047
1672455381.9008365,1179,401.7637939453125
1672455540.0976791,1184,201.7820587158203
1672455709.311497,1189,398.2971496582031
1672455879.2655277,1194,200.848876953125
1672456208.906658,1204,209.66049194335938
1672456379.8393488,1209,400.1206359863281
1672456708.6150825,1219,401.85760498046875
1672456878.5434494,1224,207.52813720703125
1672457037.4287577,1229,398.5326232910156
1672457210.9306896,1234,398.712646484375
1672457540.9269264,1244,399.7706298828125
1672458045.3007793,1259,205.70989990234375
1672458217.67078,1264,400.08038330078125
1672458390.0940325,1269,205.85623168945312
1672458548.0842857,1274,205.80760192871094
1672458894.6530821,1284,205.64891052246094
1672459054.3371532,1289,398.9579772949219
1672459227.031436,1294,203.96229553222656
1672459399.6391542,1299,397.669921875
1672459728.0728056,1309,401.51177978515625
1672459900.0842574,1314,204.89662170410156
1672460725.0588486,1339,399.7154235839844
1672461053.3770485,1349,399.84930419921875
1672461226.4611974,1354,399.2762451171875
1672461732.8191383,1369,400.1136474609375
1672461903.9136472,1374,202.10870361328125
1672462063.6483808,1379,399.7505187988281
1672462404.9136178,1389,399.5538330078125
1672462565.6903243,1394,202.82421875
1672462740.4081633,1399,399.7182312011719
1672462912.0444407,1404,202.9964599609375
1672463071.8710022,1409,206.80410766601562
1672463240.921936,1414,400.0774841308594
1672463411.3769226,1419,398.7206115722656
1672463572.9704297,1424,402.447265625
1672463897.6972957,1434,398.3841247558594
1672464055.9150486,1439,205.85992431640625
1672464394.7545967,1449,399.41497802734375
1672464556.4216883,1454,398.6917724609375
1672465237.0963209,1474,399.5238952636719
1672465409.0065622,1479,204.39370727539062
1672465547.9766226,1484,400.2364501953125
1672465716.578286,1489,200.43641662597656
1672465886.0276096,1494,398.27996826171875
1672466045.2076848,1499,408.2138671875
1672466718.13408,1519,209.75180053710938
1672466885.777286,1524,194.68203735351562
1672467044.598097,1529,398.0848388671875
1672467215.5597813,1534,204.4290008544922
1672467385.876019,1539,205.6746826171875
1672467544.955087,1544,397.35076904296875
1672468048.9005032,1559,403.23211669921875
1672468218.369032,1564,208.0420379638672
1672468390.0983067,1569,404.48492431640625
1672468549.7262573,1574,403.5927734375
1672468720.1746454,1579,201.47833251953125
1672469053.9532497,1589,399.04278564453125
1672469226.0587058,1594,397.7012939453125
1672469398.464191,1599,399.9629821777344
1672469731.772471,1609,399.4886474609375
1672470065.8425398,1619,398.6866149902344
1672470565.3782296,1634,398.2085876464844
1672470908.0067914,1644,201.53634643554688
1672471068.57991,1649,398.461181640625
1672471237.5811036,1654,203.340576171875
1672471403.1129212,1659,398.9313659667969
1672471564.782456,1664,398.700439453125
1672472241.0610583,1684,399.23980712890625
1672472414.5743575,1689,399.501708984375
1672472750.7911472,1699,212.33143615722656
1672473081.1085067,1709,400.02532958984375
1672473253.6520758,1714,205.09323120117188
1672473422.298686,1719,399.9653625488281
1672473582.412688,1724,207.48304748535156
1672473752.9999762,1729,399.87921142578125
1672474085.4810133,1739,400.016357421875
1672474255.3237894,1744,400.6927795410156
1672474425.554713,1749,401.19342041015625
1672474761.316801,1759,400.3043518066406
1672474935.7224362,1764,401.05865478515625
1672475098.6847913,1769,400.4211120605469
1672475271.6441872,1774,398.2875671386719
1672475603.08406,1784,400.432373046875
1672475775.736634,1789,401.5451965332031
1672476109.9421918,1799,399.07159423828125
1672476281.9115498,1804,399.12158203125
1672476455.3919332,1809,399.49432373046875
1672476615.2039852,1814,398.7194519042969
1672476785.3643217,1819,398.3756103515625
1672476956.2260802,1824,398.92071533203125
1672477117.364074,1829,400.7336730957031
1672477281.9653094,1834,402.583740234375
1672477454.019031,1839,201.28070068359375
1672477615.748024,1844,401.5205383300781
1672478460.454246,1869,400.452880859375
1672478618.7093937,1874,399.57440185546875
1672478957.5178432,1884,399.17852783203125
1672479116.728843,1889,399.4144592285156
1672479784.765753,1909,400.1463317871094
1672480125.122726,1919,400.4361877441406
1672480298.0963056,1924,399.31072998046875
1672480471.179116,1929,398.4400634765625
1672480974.495167,1944,399.79168701171875
1672481129.0279264,1949,398.5821228027344
1672481299.8914278,1954,398.91595458984375
1672481471.8609412,1959,398.9269104003906
1672481631.4045749,1964,402.2005615234375
1672481802.54986,1969,398.7298278808594
1672481974.8023741,1974,400.19793701171875
1672482136.8972957,1979,400.1029052734375
1672482307.2587867,1984,399.41632080078125
1672482477.349268,1989,399.291259765625
1672482639.3513672,1994,398.806640625
1672482810.1024048,1999,400.4184875488281
1672482983.5089428,2004,404.4932861328125
1672483145.2081635,2009,398.89837646484375
1672483484.9025805,2019,399.63995361328125
1672483813.6476219,2029,398.49993896484375
1672483987.5802476,2034,398.6242370605469
1672484148.316043,2039,206.6442413330078
1672484318.5348015,2044,203.85325622558594
1672484826.195829,2059,407.8435974121094
1672485001.5024211,2064,400.94525146484375
1672485160.3825624,2069,402.31378173828125
1672485331.470905,2074,398.27203369140625
1672485836.393187,2089,212.2609405517578
1672486007.5461652,2094,401.4700927734375
1672486338.0521772,2104,399.31988525390625
1672486511.0881047,2109,402.3896484375
1672487013.892184,2124,398.431640625
1672487174.2602234,2129,398.732177734375
1672487345.305725,2134,400.17987060546875
1672487676.8381906,2144,399.4764404296875
1672487847.307463,2149,399.0105285644531
1672488019.3355718,2154,398.806884765625
1672488517.6026223,2169,401.8821716308594
1672488674.7683234,2174,401.2080993652344
1672488843.8599167,2179,399.8469543457031
1672489016.5284736,2184,399.4322509765625
1672489174.3205497,2189,398.9825744628906
1672489345.8000588,2194,400.39105224609375
1672489521.013415,2199,398.66204833984375
1672489680.4715216,2204,398.58453369140625
1672490000.425234,2214,402.71258544921875
